Dato  	 Undersøgt af  	Flokstruktur Form  Rund	Flokstruktur   Irregelær	Flokstruktur Struktur  Kompakt	Flokstruktur   Diffus	Flokstruktur Diversity  Lav	Flokstruktur   Høj	Flokstruktur Trådindex  0 - 5	Flokstruktur Flokstørrelse  mm	Flokstruktur Styrke  Fast	Flokstruktur   Svag	Bundfældningsegenskaber SV (30 min)  ml/l	Bundfældningsegenskaber FF  2, 4, 8	Bundfældningsegenskaber Aflæst  ml/l	Bundfældningsegenskaber FSV (30 min)  ml/l	Bundfældningsegenskaber TS (intern)  g/l	Bundfældningsegenskaber SS (ext)  g/l	Bundfældningsegenskaber SVI  ml/g	Bundfældningsegenskaber FSVI  ml/g	Bundfældningsegenskaber pH  	Bundfældningsegenskaber Temp. I luft-  bassin, oC	Bakterier Fritsvæv. Mikroorganismer spiriller medregnet   < 10	Bakterier Fritsvæv. Mikroorganismer spiriller medregnet  10-100	Bakterier Fritsvæv. Mikroorganismer spiriller medregnet  > 100	Bakterier Fritsvæv. Mikroorganismer Zoogloea-koloni   < 10	Bakterier Fritsvæv. Mikroorganismer Zoogloea-koloni  10-100	Bakterier Fritsvæv. Mikroorganismer Zoogloea-koloni  > 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Flagellater  (Bodo)   < 10	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Flagellater  (Bodo)  10-100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Flagellater  (Bodo)  > 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Ciliater Fastsiddende   < 10	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Ciliater Fastsiddende  10-100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Ciliater Fastsiddende  >100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Fritsvømmende  < 10	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Fritsvømmende  10 - 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Fritsvømmende  > 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Krybende  < 10	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Krybende  10 - 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Krybende  > 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Rhizopode Amøbe med/uden skal   < 10	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Rhizopode Amøbe med/uden skal  10-100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Rhizopode Amøbe med/uden skal  > 100	Metazoer (flercellede) Rotifer (hjuldyr)   < 10	Metazoer (flercellede) Rotifer (hjuldyr)  10-100	Metazoer (flercellede) Rotifer (hjuldyr)  > 100	Metazoer (flercellede) Nematode (rundorm)   < 10	Metazoer (flercellede) Nematode (rundorm)  10-100	Metazoer (flercellede) Nematode (rundorm)  > 100	    Bemærkninger/konklusion til observationerne
2016-10-04	SK	x		x			x	0.5	0.11	x		320	2	140	280	5	4.5	71	62					x	0			x				x		x				x		0				x		0			Som den 30. aug så er bundfældningsegenskaberne meget flotte! Flokkene er måske ikke så store, men de er pænt kompakte. Det ser lidt tyndt ud, men TS og SS ligger helt normale (afvent TS og SS). SVI = 71 ml/g og FSVI = 62 ml/g. Som for 14 dage siden er der næsten ingen trådbakterier i, så jeg vurderer trådindexet til 0,5. Der er ikke voldsomt meget højerestående liv, men bred tilstedeværelse, flest fastsiddende og krybende ciliater. Igen ser det ganske enkelt flot ud.
2016-08-30	SK	x		x			x	0.5	0.1	x		640	2	180	360	4.8	4.4	145	82					x	0				x			x			x		x			x			x			0			Bundfældningsegenskaber er stadig rigtig flotte! Flokkene er måske ikke så store, men de er pænt kompakte. Det ser lidt tyndt ud (afvent TS og SS). SVI = 145 ml/g og FSVI = 82 ml/g. Som for 14 dage siden er der næsten ingen trådbakterier i, så jeg vurderer trådindexet til 0,5. Der er ikke voldsomt meget højerestående liv, men bred tilstedeværelse, flest fastsiddende ciliater. Det ser ganske enkelt flot ud.
2016-08-18	SK	x		x			x	0.5	0.1	x		200	2	130	260	3.6	2.77	72	94					x	x			x				x			x		x			x			0			0			(husk sag om udslip af jernchlorid) Bundfældningsegenskaber er rigtig flotte! Det ser lidt tyndt ud (TS og SS er 3,6 og 2,8 g/l). SVI = 72 ml/g og FSVI = 94 ml/g. Der er næsten ingen trådbakterier i, så jeg vurderer trådindexet til 0,5. Der er ikke voldsomt meget højerestående liv, men bred tilstedeværelse, flest fastsiddende ciliater. 
2016-06-14	SK, TKN	x	x	x			x	1.75	0.1	x		920	2	370	740	3	2.5	368	296					x	0				x			x			x			x		0			x			0			Bundfældningegenskaberne er lidt ringere end i maj, men slammæssigt begynder det at se rigtig fint ud. SVI = 368 ml/g og FSVI= 296 ml/g. Der er langt færre trådbakt end sidst og TI er <2. Slamflokkene varierer meget, så det er god blanding af fine runde kompakte og flest der er mere fluffy. Der er fint med højerestående organismer, flest krybende ciliater.
2016-05-10	SK, TKN, BLB		x		x		x	3	0.09	x		910	2	200	400	5	4.2	217	95																														Bundfældningegenskaberne er rimelige ok, på fortyndet er den 400. SVI = 217 ml/g og FSVI= 95 ml/g. Der er flere trådbakt end i marts. Slamflokkene varierer meget, så det er god blanding af fine runde kompakte og flest der er mere fluffy. Vi nåede ikke at tælle, men der blev observeret fint med højerestående organismer.
2016-03-01	SK		x		x		x	2.5	0.09	x		880	2	250	500	5.1	5	176	100	7.43				x	x				x				x		x				x		x		0			x			Bundfældningegenskaberne er rimelige ok. SVI = 176 ml/g og FSVI= 100 ml/g. Som sidst er der en del trådbakt. Slamflokkene varierer meget, så det er god blanding af fine runde kompakte og nogle mere fluffy. Igen fint med højerestående organismer.
2016-02-02	SK		x		x		x	2.5	0.11	x		270	2	170	340	4.2	3.3	82	103					x	0				x			x			x			x		x			x			x			Igen rigtige fine bundfældningsegenskaber, SVI = 82, som er rigtig flok. Lidt højere trådindex end sidst. Der er mange fint kompakte slamflokke og flere er bygget op om de fiberlignende tråde. Fint med højerestående liv.
2016-01-19	SK		x		x		x	2	0.13	x		835	2	240	480	5.8	4.9	170	98					x	0					x			x	x				x		x			x			x			Rigtig fin bundfældningsegenskaber. (Mærkeligt at den ufortyndede var så meget lavere end den den fortyndede.) gentog den ufort. To gange og det var resultater som lå helt i top (ca- 800 ml/l) Måske den på 200 er forkert! Fortyndet fsv er = 500. Svi = 170 og FSVI= 98. Lidt flere trådbakt end i beg af januar, TI = 2. Fint med liv - og flest fastsiddende. 
2016-01-07	SK		x	x	x		x	1.75	0.11	x		660	2	250	500																																		"Der er rigtig fin bundfældning, SV =660 ml/l. Både i lab og ude i virkeligheden, hvor vi må belufte for at løfte slammet ""videre"". SV drillede lidt med stor spredning. Fine flokke, og SER og jeg talte om de ""fibre"" der ses, om de kan være årsag til den fine bundfældning. Vi kiggede tilbage til den gode bundfældning i 13, hvor fibrene også var til stede - men de var de til gengæld også senere i 15, hvor bundfældningen ikke var i top. Så de er nok ikke årsagen. Men underligt, hvad det er for fibre. Fint med liv, flest fastsiddende. Ikke mange trådbakt. TI = 1,5 - 2."
2015-11-12	SK	x	x	x	x		x	1.5	0.1	x		920	2	405	810	7.4	6.2	148	131					x		x		x				x				x		x		x			x			x			Ok bundfældningsegenskaber hvor SV=920 ml/l. Der er mange fint runde kompakte slamflokke og ikke mange trådbakterier (TI = 1,5). SVI = 148. Der er rigtig mange mikroorgansimer i form af ciliater og flere andre højerestående (rotifer og nematode). 
2015-10-27	SK		x	x	x		x	1.5	0.11	x		860	2	230	460	5.5	4.8	179	96					x																									Måling af bundfældningen drillede en del (både fortyndet og ufortyndet)To gange lå FSV (FF 4) under aflæsningsgrænsen. Måtte lave FF2. Og Dobbeltbest på SV! SV viste 860 og FSV = 460. SVI = XX. Det ser pænt ud med rigtig mange fine kompakte store flokke. Lavt trådindex (1) og rigtig meget liv i form af fritvsvømmende og krybende ciliater + rigtig rigtig mange spiriller.
2015-09-28	SK		x		x		x	2	0.12	x		290	2	140	280	6.2	5.3	55	53					x		x			x			x			x			x		0			x			x			Et pludselig hop i bundfældningsegenskaber i den gode retning. Det ser rigtig fint ud. Umiddelbart i mikroskopet ses det ikke, der er en del trådbakt og mange af flokkene ses ikke specielt sammenhængende. Resultatet i målebægeret viser så noget andet, hvor SVI er helt nede på 55 ml/g! Der er igen zoogloeavækst. Fint med liv.
2015-09-08	SK		x		x		x	2	0.09	x		830	4	110	440	6.7	5.4	154	81				husk at skrive ind!!!																										Bundfældningsegenskaber er ok, ser ud som i august. Det er diffuse flokke men der ses også mange fine kompakte. SVI 154 g/l. SS er på 5,4 g/l. Der er fint med liv både fritsvøm og fastsiddende ciliater. Der er igen en del zoogloea til stede. Lidt trådbakterier. TI = 2. 
2015-08-11	SK		x		x		x	2.25	0.09	x		850	4	120	480	4.6	3.8	224	126					x	x				x			x			x			x			x		x			x			"Bundfældningsegenskaber er ok, men ikke så fint som i juni, hvor det var begyndt at se rigtig fint ud. SVI 224 g/l. SS er på 4,6 g/l (noget tykkere end EM), og der er meget liv både fritsvøm og fastsiddende ciliater. Der er også zoogloea til stede. Der er fine flokke, men også lidt trådbakterier. TI = 2,5.  Vi så en fritsvømmende ciliat opsluge en amøbe med ""hud og hår""!."
2015-06-16	SK	x	x	x	x		x	1	0.12	x		850	2	300	600	5.9	4.6	185	130					x	0			x				x			x				x		x		0			x			"NØ-slammet begynder at ligne det slam vi havde ultimo 2013! Fine flokke, meget ""klar"" vandfase, ikke mange tråde og fin bundfældning (SVI= 185 ml/g, så den er ikke helt som dengang, men på niveau med EM's).  Der er en masse kompakte flokke med også åbne. Kriblende meget liv, det kribler og kravler meget fint."
2015-05-06	SK		x		x		x	2	0.11	x		890	2	220	440	4.1	3.4	262	129					x	0				x			x			x			x		0			0			0			"Bundfældningsegenskaber er fine, men der er lidt flere tråde end i april. Fine flokke, men der ses også ""klumper"" med trådbakterier. Fint med liv."
2015-04-14	SK		x		x		x	1.5	0.1	x		920	2	390	780	5.5	4.4	209	177					x	0				x			x			x			x		0			x			x			Som i marts ser det pænt ud. Der er mange fine flokke og det virker meget robust slam. Fint bundfældning (SV = 920) og der er få tråde, TI = 1,5. Fint med liv, flest fastsiddende ciliater. TS = og SS.. 
2015-03-25	SK, ABL		x		x		x	1.5	0.1	x		940	4	150	600	5.9	4.7	200	128					x	0				x			x			x				x	0			x			x			Det ser rimelig pænt ud med samlede flokke - dog er der også en del åbne. Slammet er ikke tyndt, som i feb. Det havde en rustrød farve - nok pga jerntilsætning. Der er som sidst ikke så mange trådbakterier, TI1,5. Bundfældning er en anelse bedre end sidst og den fortyndende viser 600 ml/l. SV og FSV= 
2015-02-19	SK		x		x		x	1.5	0.08	x		950	2	530	1060	5.6	4.3	221	247					x	x			x				x			x			x		0			0			0			Slammet virker ikke tyndt som sidst. SV30=950  og TS= 5,6. Bundfældningen er ikke så god som sidst. Få tråde og ok med liv.
