Dato  	 Undersøgt af  	Flokstruktur Form  Rund	Flokstruktur   Irregelær	Flokstruktur Struktur  Kompakt	Flokstruktur   Diffus	Flokstruktur Diversity  Lav	Flokstruktur   Høj	Flokstruktur Trådindex  0 - 5	Flokstruktur Flokstørrelse  mm	Flokstruktur Styrke  Fast	Flokstruktur   Svag	Bundfældningsegenskaber SV (30 min)  ml/l	Bundfældningsegenskaber FF  2, 4, 8	Bundfældningsegenskaber Aflæst  ml/l	Bundfældningsegenskaber FSV (30 min)  ml/l	Bundfældningsegenskaber TS (intern)  g/l	Bundfældningsegenskaber SS (ext)  g/l	Bundfældningsegenskaber SVI  ml/g	Bundfældningsegenskaber FSVI  ml/g	Bundfældningsegenskaber pH  	Bundfældningsegenskaber Temp. I luft-  bassin, oC	Bakterier Fritsvæv. Mikroorganismer spiriller medregnet   < 10	Bakterier Fritsvæv. Mikroorganismer spiriller medregnet  10-100	Bakterier Fritsvæv. Mikroorganismer spiriller medregnet  > 100	Bakterier Fritsvæv. Mikroorganismer Zoogloea-koloni   < 10	Bakterier Fritsvæv. Mikroorganismer Zoogloea-koloni  10-100	Bakterier Fritsvæv. Mikroorganismer Zoogloea-koloni  > 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Flagellater  (Bodo)   < 10	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Flagellater  (Bodo)  10-100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Flagellater  (Bodo)  > 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Ciliater Fastsiddende   < 10	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Ciliater Fastsiddende  10-100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Ciliater Fastsiddende  >100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Fritsvømmende  < 10	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Fritsvømmende  10 - 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Fritsvømmende  > 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Krybende  < 10	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Krybende  10 - 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater)  Krybende  > 100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Rhizopode Amøbe med/uden skal   < 10	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Rhizopode Amøbe med/uden skal  10-100	Protozoer (encellede organismer med cellekerne, fx amøber, tøffeldyr og ciliater) Rhizopode Amøbe med/uden skal  > 100	Metazoer (flercellede) Rotifer (hjuldyr)   < 10	Metazoer (flercellede) Rotifer (hjuldyr)  10-100	Metazoer (flercellede) Rotifer (hjuldyr)  > 100	Metazoer (flercellede) Nematode (rundorm)   < 10	Metazoer (flercellede) Nematode (rundorm)  10-100	Metazoer (flercellede) Nematode (rundorm)  > 100	    Bemærkninger/konklusion til observationerne
2014-03-05	SK		x		x		x	1.75	0.11	x		840	2	230	460	5.8	4.8	175	96					x	0			x					x		x				x	x			x			0			"LT1. Stadig meget flot bundfældning. Lidt flere tråde end sidst. Og stadig en del ""fibre"". Der er fint med liv, og vi så en par multikulturer (var ikke zoogloea). Betina siger at det ser lidt underligt grødagtigt ud, når hun filtrerede til SS. Filteret ""stoppede"" til. Slammet lugter ikke godt!"
2014-02-12	SK	x	x	x			x	1	0.09	x		900	2	310	620	3	2.4		258					x	0			x				x			x			x		x			0			0			LT2.Det ser ualmindeligt flot ud. Og flot bundfældning - desværre kan vi ikke regne med slamvolumeforsøgene, for det viste mærkelige resultater. Det kan være fordi det slammet nærmest bundfælder, mens jeg skruer låget af dunken! Flotte kompakte flokke og fint med liv. Slammet lugter ikke godt! De, som skal på mikroskoperingskursus i marts, tager en NØprøve med, for at se om de kan finde en løsning på fibrene.
2014-01-28	SK, BLB	x	x	x	x		x	1	0.1	x		630	2	170	340	5.5	4.3	147	79					x	x			x				x			x			x		x			0			0			LT2. Ser stadig meget flot ud, som sidste gang. Flot bundfældning - SV på 630 ml/l. SVI 147. Fint med liv. 
2014-01-08	SK	x	x	x	x		x	1	0.11	x		590	2	180	360	4.7	3.9	151	92					x	x			x					x		x			x		x			0			0			LT2. Ser stadig meget flot ud, som sidste år. Rigtig flot bundfældning - dog lidt højere SVi (151 ml/g) end i december (47 ml/g). Masser af liv. 
2013-12-17	SK	x	x	x			x	1	0.13	x		210				5.5	4.5	47						x	x			x					x		x			x		0			0			0			LT2. Ser stadig meget flot ud, som i nov. Rigtig flot bundfældning og masser af liv. 
2013-11-26	SK	x	x	x			x	1	0.12	x		280				3.6	3.2	88			11.6			x	x			x					x		x			x			x		0			0			"LT1, uforståligt hvad der er sket på NØ. Carsten S. fortæller at det nærmeste ikke er til at pumpe slammet inden det når at bundfælde. Vi kan ikke forklare det. Der er ikke umiddelbart noget at se i mikroskopet - det eneste der sådan er at bemærke er ""fibre"", som ikke ser levende ud (altså ikke trådbakterier). Der er lidt zoogloeakolonier, men om de kan være årsagen er udsagt. SV på ufortyndet prøve er 280 ml/l og TS er XX "
2013-11-05	SK	x		x			x	1	0.17	x		210				3	2.4	88						x	0			x					x		x			x		0			0			0			LT1, Som i okt - slammet hamrer til bunds. Flokkene er kompakte og meget faste. Der er mange fastsiddende (og klar vandfase - ikke så mange frie bakterier som vi ellers ser). Der er få trådbakt. Og TS er ret lav på 3,0 g/l og SVI ligger helt nede på 88 ml/l
2013-10-01	SK	x		x			x	1		x		200									15		x		x			x					x			x		x		x			x			x			LT1, Har da aldrig set noget lignende! Slammet hamre til bunds. Flokkene er kompakte og meget faste.Vildt flot! Fyldt med liv (fastsiddende og fritsvømmende) og det betyder, at den frie vandfase er meget klar (ikke så mange frie bakterier som vi ellers ser). Ændring: forklaringen bypasses så vi få meget kilstof ind i aktiv slam.
2013-08-27	SK		x		x		x	1		x		640	2	200	400	4.6	4	161	101																														LT2, Flot slam. Kun få tråde og rigtig fin bundfældning. Også pænt med liv. (Blev en kort mikroskopering for mikroskopet virkede ikke igen..)
2013-08-14	SK		x		x		x	2	0.12	x		200	2	100	200	5.7	5	40	40					x	x			x				x			x				x	0			x			x			LT2, kanal 2. Det ser pænt ud med store flokke og ikke så mange trådbakterie (trådindex 2). Bundfældningsegenskaberne er også flotte med SV=200. TS er på 5,7 g/l. Meget lav SVI på 40!
2013-07-01	SK		x		x		x	3.5	0.1	x		950	4	160	640	5.9	4.9	193	130					x	0			x					x		x				x	0			x			x			LT2. kanal 1. En del trådbakterier, men knap så voldsomt som den 10/6. Bundfældningsegenskaberne er rimelige, men det plejer at være meget pænere her om sommeren. Der er meget liv i, mest krybende og fastsiddende ciliater, og så er der temmelig mange fritsvævende mikroorgismer. Høj TS = 5,7 g/l
2013-06-10	SK		x		x		x	4		x		910				3.5								x	x			x					x		x			x		0			x			x			LT2, kanal 1. Igen en del tråde, nok microtrix, i mange områder. Bundfældningsegenskaber ok på 960 på ufortyndet prøve. TS = 3,5 g/l.Fint med liv. (mini-mikroskopering)
2013-04-30	SK		x		x		x	3.5	0.1	x		960	4	150	600	4.1	3.8	252	157		9.8			x	0				x				x		x				x	0			0			x			LT1, kanal 1. Der er kommet en del tråde til - det ser værre ud end for 20 dage siden. Og det ligner microtrix. Slamflokkene er mere difuse og ikke så pænt samlet som sidst. Bundfældningsegenskaberne er blevet noget ringe i forhold til sidst (960 ml/l i forhold til 260 ml/l for 20 dage siden!). TS er 4,1g/l. Der er pænt med liv - også mere end sidst, så de er for alvor vågnet op fra vinterhi. Flest fastsiddende og krybende ciliater.
2013-04-10	SK		x		x		x	2.5	0.11	x		260	2	250	500	5.5	4.9	53	102		8.1			x	0			x					x	x				x		0			0			x			LT2, kanal 1. Der er lidt flere trådbakt til stede end vi ellers har set. Ikke udpræget på hele præparatet, men ses i områder. Bundfældningegenskaber er stadig i den rigtig pæne ende. SV =260. Der er mange fine runde flokke. Pænt med liv - flest fastsiddende ciliater.
2013-01-30	SK		x		x		x	1	0.12	x		170				2.4	1.8	93			7.4			x	0			x					x		x				x	0			0			0			LT2, kanal 2.Det ser rigtig fint ud, selv om der ikke er så meget slam i. TS = 0,9! Få tråde og fin bundfældning. Overordenlig meget liv taget den lave slamkoncentration og lave temperatur i betragtning.
2012-12-12	SK	x		x			x	1.5	0.13	x		450	2	140	280	4.6	3.6	125	78		9.2			x	x				x				x		x				x	0			0			0			LT2, kanal 1. Det ser rigtig fint ud. Pæne runde flokke og ikke mange tråde. Fin bundfældning. TS = 4,6 g/l. Flot med liv trods temperaturen er på vej ned.
2012-11-28	SK	x		x			x	1.5	0.1	x		590	4	180	720	4.2	3.4	174	212		12			x	0				x				x		x			x		x			0			0			LT2,kanal 1. Rimelige bundfældningegenskab på SV 590. Det ser rigtigt pænt ud med kompakte runde flokke. Mellemklaringen er/har været lukket ned.TS = 4,2 g/l. Fint med liv.
2012-11-07	SK	x	x	x	x		x	1.5	0.13	x		288	2	140	280	3.4	2.9	99	97					x	0				x			x			x			x		x			0			0			LT2, kanal 2. Efterklaringstank 2 har været ude af drift i en uges tid, så alt vandet er gået ud via tank 1. Meget flot bundfældning (dobbeltbest 310 og 265!) på ufortyndet slam og mange fine kompakte flokke. TS på 3,4 g/l. Fint med liv, flest fastsiddende og fritsvømmende
2012-10-24	SK	x	x	x			x	1.5	0.16	x		825	4	200	800	3.2	2.8	295	286					x	0				x			x			x			x		0			0			x			LT2. Ok bundfældningsegenskaber på 825 (ufortyndet) og TS = 3,2 g/l. Det ser pænt ud med mange fine kompakte flokke og få tråde (TI = 1,5). Fint med liv, flest fastsiddende ciliater.Som sidst vrimler det med spirochater ud fra flokkene, kort tid efter at præparatet lægges i mikroskopet.  
2012-10-09	SK	x	x	x			x	1.5	0.12	x		890	4	125	500	4.8	4.6	195	109					x	x				x			x			x			x		0			x			x			LT 2 kanal 1. Ok bundfældning på 890 (ufortyndet) og en TS = 4,8 g/l. Det ser flot ud med fine kompakte runde flokke og få tråde (TI = 1,5). Fint med liv, flest fastsiddende ciliater. Det vrimler med spirochater ud fra flokkene, kort tid efter at præparatet lægges i mikroskopet.  
2012-09-26	SK	x	x	x	x		x	1.75	0.14	x		765	4	120	480	4.8	4.2	184	116					x	x				x			x			x			x		0			x			x			LT 2 kanal 1. Det ser pænt ud, fine flokke også en del runde kompakte. Fin bundfældning på 765 (ufortyndet) og TS på 4,8. På trods af så høj TS er trådindex på 1,5-2. Fint med liv - flest fritsvømmende og fastsiddende ciliater.
2012-09-12	SK		x		x		x	1.5	0.11	x		840	4	110	440	4.9	4.4	191	100		16			x	x				x			x			x			x		0				x		0			LT 1. Det ser pænt ud med bundfældning SV = 840 og TS = 4,9. Der er kun få trådbakterier til stede, TI = 1,5. Der var ikke så meget liv, men en del rotifer til stede - som kan indikere høj slamalder (det blev nævnt på procesmødet at der har været/vil blive slukket for LT enten kanal 1 eller 2?) 
2012-08-29	SK		x		x		x	2	0.14	x		880	4	130	520	4.4	4.1	215	127					x					x			x			x			x		0				x		x			"Rimelig bundfældning på  880 (ufortyndet) og ikke mange trådbakterier med TI på 2.Pænt med forskelligartet liv og mange fritsvømmende ciliater (""store slagskibe"") og også rotifer - der er ikke ofte vi ser så mange."
2012-08-15	SK		x		x		x	2	0.12	x		650	4	130	520	4.1	2.8	232	186					x	x			x				x			x				x				x			x			Fra NU af bliver tørstof målt ved 105 grader i stedet for 160 grader! Det ser stadig pænt ud, og flot bundfældning på 650. Lidt flere end trådbakt end før sommerferien, TI = 2. Pænt med meget alsidigt liv, mange krybende ciliater. Så også et par zoogloeakolonier.
2012-07-03	SK		x		x		x	1.5	0.14	x		520	4	90	360	3.1					15.4			x	0				x				x		x				x		x		x			0			Rigtig flot bundfældning på SV=520. TS = . TI= 1,5. Pænt med liv og igen områder hvor der kommer fritsvævende bakt ud i vandfasen.
2012-06-20	SK		x		x		x	2.25	0.15	x		830	4	120	480	4.5	2.8	301	174					x	0				x				x		x			x		x			x			0			LT2. Flot bundfældning påSV30 = 830 og TS = 4,5. Pænt med liv og igen områder hvor der kommer spiriller ud i vandfasen fra slamflokkene.
2012-06-07	SK		x		x		x	2.5	0.13	x		910	4	120	480	4.4	3.7	249	131		13.7			x	0				x			x			x			x		x			x			x			LT 1. Ok bundfældning på 910 (ufortyndet) og TS på 4,4. Trådindex på 2,5. Fint med liv både fastsiddende, fritsvømmende og krybende ciliater. Mange spirochater som kom ud i vandfasen kort efter præparat var lagt i mikroskop.Lige når det lægges på, er der ingen at se.
2012-05-22	SK, MJ																																																Fik ikke noget slam fra NØ denne dag.
2012-05-09	SK		x		x		x	2.5	0.12	x		950	4	150	600	5.3	4.1	232	146					x	x			x					x		x			x		x			x			x			"Det ser pænt ud og fin bundfældning - dog med en smule ""flydeslam"" i toppen. Der er ikke så mange tråde, dog kan microtrix spottes. Kædeskraber gled ned i efterklaringstank 2 og blev rep i går aftes."
2012-04-25	SK											880	4	130	520	4.5	3.9	227	134		12.2																												Prøven blev destrueret før mikroskopering (uvarslet meterornedfald)…
2012-04-11	SK																																																Fik ikke noget slam fra NØ denne dag.
2012-03-28	SK		x		x		x			x		940	4	140	560	4.7	4.4	214	128		10.4																												Mikroskoppæren sprang, så jeg blev ikke færdig med at mikroskopere! Lugter grimt. Just fortæller at tilløb til renseanlæg blev lukket i går pga etabl af spjæld - men ved ikke om det kan være årsag.
2012-02-14	SK		x		x		x	2.5	0.15	x		940	4	130	520	5.3	5.1	186	103		8.5			x	0			x					x		x				x	x			0			x			Ser pænt ud med lidt ringere bundfældning end sidst (typisk vintervejr). Stadig ikke mange trådbakt. dog områder med microtrix. Meget liv i form af krybende og fastsiddende ciliater.
2012-01-25	SK		x		x		x	2.25	0.12	x		780	4	120	480	3.4	2.8	277	171		8.7			x	0				x				x		x				x	0			0			x			Der pænt ud, men lidt flere tråde end vi ellers har set, men stadig lav TI (TI 2-2,5). Ok bundfældning, men gået fra 330 til 780 ml/l. Meget liv i form at krybende og fastsiddende ciliater.
2012-01-10	SK		x	x	x		x	1.5	0.14	x		330				3.6	4.6	72						x	0				x				x		x			x		0			0			0			Det ser rigtig pænt ud. Ikke mange tråde og flot bundfældning. Pænt med liv, flest fastsiddende. TS på 3.6 g/l. 
2011-12-20	SK, JC		x		x		x	2	0.12	x		540	2	170	340	2.7	3.8	143	90		10.2			x	0				x				x		x			x		x			x			0			Som sidste gang, så bundfælder det rigtig rigtig flot - men det er også noget tyndt plask. Der er ikke mange tråde. Fint med liv, flest fastsiddende ciliater.
2011-12-06	SK, JC		x	x	x		x	2	0.11	x		330	2	140	280	3.3	3.3	99	84		9.5			x	x				x				x		x			x		x			x			x			Det bundfælder fint, men er noget tyndt plask. Vi har fået lidt regn de sidste par dage, så det kan være eftervirkninger. Ok med liv, flest fastsiddende ciliater, og ikke mange tråde.
2011-11-22	SK, JC	x	x	x	x		x	1.5	0.12	x		820	2	210	420	4.6	4.1	200	103		12.1			x	0				x			x				x		x		x			x			x			Ser rigtig pænt ud og med ok bundfældningsegenskaber og SV lidt højere end sidst. Ikke mange tråde. Fint med liv, flest fritsvømmende - og det er ret sjældent. 
2011-11-08	SK, JC	x	x	x	x		x	1.75	0.13	x		780	4	105	420	4.8	3.2	244	131		13.4			x	0				x				x		x			x		x			x			x			Ser pænt ud med mange kompakte flokke og ikke så mange tråde (TI 1,5-2). Ok med liv, flest fastsiddende ciliater. Ufortyndet slamvolumen (SV30) steget til 780 (næsten dobbelt op)
2011-10-25	SK, JC		x	x	x		x	1.5	0.12	x		420	2	160	320	3.7	3.2	132	100					x	0				x				x		x			x		0			0			x			Ser stadig rigtig pænt ud med mange kompakte flokke. TS var lidt drilsk, nok fordi der var en del partikler i samtidig med at det var tyndt slam. Pændt med forskelligartet liv, mange spirochater og ikke mange tråde.
2011-09-27	SK	x	x	x	x		x	1.5	0.11	x		290	2	130	260	3.2	2.4	121	108		15.8			x	x				x			x			x			x		x			x			x			Meget flot bundfældning. Mange små kompakte flokke. TS på . Lavt trådindex på 1.5. Sjældent set så fint ud!. Meget forskelligartet liv, flest krybende og fritsvømmende.Vi er ved at skifte kip i efterklaringstanken, så vi kan ikke regne med tallene!
2011-09-13	SK	x	x	x	x		x	1.5	0.1	x		380	2	110	220	3.2	2.2	174	101		15.8			x	x			x				x			x				x	x			0			0			Meget flot bundfældning. Mange små kompakte flokke. TS på 3,2. Ikke mange tråde. Sjældent set så fint ud!. Forskelligartet liv, flest krybende.
2011-08-30	SK	x	x	x	x		x	2	0.11	x		500	2	160	320	2.5	2.2	229	147		15.6			x	x			x			x			x					x	0			0			0			Igen fin bundfældning! Mange små kompakte flokke. Tyndt slam (TS =2,5 ), og ikke mange tråde. Mange krybende.
2011-08-09	SK, JC		x		x		x	2	0.1	x		530	2	160	320	3.1	2.8	192	116		15.7			x	x			x				x			x			x		x			x			0			Fin bundfældning. Lidt tyndt, vi har fået en lil' bit' smule vand på det sidste. Ikke så meget liv og få trådbakt. Små flokke!
2011-06-21	SK, JC		x		x		x	2.5		x		950	4	150	600	4.7	4.1	235	148		15.6			x	x				x			x				x		x		0			x			0			Bundfældning fin. Mange pænt runde flokke, og flere tråde er gemt i flokkene. Små klatter der ligner zoogloeakolonier i flokkene. Pænt med liv, mange fritsvømmende (type: flaskeform) og en del flagellater.  
2011-06-07	SK		x		x		x	3	0.1	x		900	4	130	520	4.5	3.3	269	156					x	x					x	x				x			x		0			x			0			Bundfældning fin. Mange pænt runde flokke, og flere tråde er gemt i flokkene. Små klatter der ligner zoogloeakolonier i flokkene. Der er ikke så meget liv som sidst. En del flagellater.  
2011-05-10	SK		x		x		x	4	0.1	x		970	4	170	680	4.5	4.3	228	160		13			x	0			x					x		x			x		0			x				x		Printline udledte 800 l lud den 9/5! pH blev ikke påvirket i aktiv slam. Mange tråde. Der var liv i slammet. Så både fritsvømmende, mange fastsiddende og mange orme. Ikke mange krybende, som vi ellers har set. Bundfældningen rimelig. (pH kl. 13.30 er 7,6)
2011-04-28	SK		x		x		x	3	0.1	x		950	4	150	600	4	3.3	286	180		11.3			x	0				x			x		x				x		x			0			0			Mange tråde og åben struktur. Mange små flokke, men også nogle store fine flokke. Knap så meget liv som sidst. 
2011-04-07	ingen prøve																																																
2011-03-22	SK, JC		x		x		x	2.5	0.11	x		995	4	120	480	3.8	4.1	243	117		8.4			x	x			x					x	0					x	0			0			x			"Ser rimelig ud. Trådindex 2,5. Pænt med liv ifa fastsiddende og krybende ciliater. Ingen fritsvømmere og kun enkelte flagellater. Bundfælder mærkeligt. Ufortyndet: store ""huller"" rundt i målebægeret og kun faldet meget lidt i toppen. Fortyndet: der ligger ca 30 ml i toppen som flydeslam, dom er slamflokke og lidt tråde. Ser underligt ud. De andre gange hvor vi har set flydeslam, så har det været fyldt med trådbakterier."
2011-03-08	SK, MJ		x		x		x	2.5	0.14	x		999	4	130	520	4.8	4.1	244	127					x	x			x					x	x					x	0			x			0			Ser rimelig pæn ud. Trådindex 2,5. Bundfælder ok i fortyndet. Men den ufortyndede opførte sig meget mærkeligt - først bundfældede den slet ikke. Efter at være stået nogen tid på bordet, opdagede jeg at vandfasen lå i BUNDEN af målebægeret. Jeg rystede prøven op igen, og så kom vandfasen til syne MIDT i målebægeret! Jeg havde ikke mere slam, så den kunne ikke gentages. Meget liv i form af fastsiddende og krybende.
2011-02-22	SK		x		x		x	2.75	0.12	x		920	4	130	520	4.8	4.3	212	120					x	0			0					x	x					x	0			0			0			Ikke regnstyring mere. Det ser pænere ud end det har gjort længe, ok bundfældningsegenskaber. Som sidst var der mange fastsiddende og krybende.
2011-02-08	SK, JC		x		x		x	2	0.1	x		680	2	170	340	3.1	2.6	266	133		8			x	0			x					x	0					x	0			0			x			Regnstyring og dermed forklaringen stoppet. Vi kan ikke regne med TS/SV/SVI - det er noget tyndt spildevand, små bitte flokke. Mange fastsiddende og krybende - ellers ikke så meget liv.
2011-01-19	SK, JC		x		x		x	2.5	0.12	x		330	2	140	280	2.7	2.1	157	133		7.9			x	0			0				x		0					x	0			0			0			Meget tyndt! Ikke så meget liv ud over krybende ciliater. Vi så ingen fritsvømmere, flagellater, amøber…Trådindex på 2,5. Meget smeltevand den sidste uges tid - al sneen er væk! 
2011-01-10	SK, JC		x		x		x	2	0.12	x		920	4	130	520	4.7	4.3	214	121		8.3			x	0			x					x	x					x	x			0			0			Det kribler og krabler…rigtig rigtig mange krybende ciliater - og også mange fastsiddende. Fine bundfældningsegenskaber og TS pænt høj på 4,7 trods meget smeltevand ind det sidste døgn.
2010-12-21	SK, JC		x		x		x	2.25	0.13	x		920	4	130	520	4.1	4.3	214	121		9.3			x	x				x				x		x				x	x			x			0			Som sidst. Pæne bundfældningegenskaber, flokstørrelse og trådindex ok. Rigtig pænt med liv, mange krybende og fastsiddende.
2010-12-07	SK, MJ		x		x		x	2.25	0.12	x		910	4	120	480	4.4	4	228	120					x	x				x			x			x				x	0			x			0			Pæne bundfældningegenskaber, flokstørrelse og trådindex ok. Pænt med liv, mange krybende.
2010-11-24	SK		x		x		x	2	0.12	x		430	1.3	170	221	1.7	2.1	205	105		9.9			x	0				x			x			x				x	0			0			0			"Svært at regne med ret mange af analyseresultaterne for der er kørt regnvejrsstyring, så det var noget meget tyndt plask! Mange af flokkene var pænt afrundet og der var ikke så mange tråde i (men som sagt var det også meget ""tynde"" præparater vi fik lavet). Der var rigtig pænt med liv - mange fritsvømmende end vi ellers ser og også krybende. Der var områder med mange fritsvævende bakt."
2010-11-02	SK, JC		x		x		x	2.25	0.1	x		930	4	130	520	3.9	4.1	227	127		13.6			x	x					x		x		x					x	0			0			0			Ok bundfældningsegenskaber, det så pænt ud og der var mange fine flokke. Ok med liv med mange krybende - og mange flagellater.
2010-10-19	SK, MJ		x		x		x	2.25	0.12	x		950	4	155	620	4.6	4.8	198	129					x	x				x			x			x			x		0			x			x			Ok bundfældningsegenskaber, mange områder med lav trådindex men også områder med flere små korte tråde. Ok med liv. Slammet så noget puffy ud da vi lavede SVI - men ikke her i mikroskopet. Ingen fæl lugt denne gang!
2010-10-06	SK		x		x		x	2.25	0.11	x		950	4	155	620	4.4	4.7	202	132		15.4			x	0			x				x			x			x		x			x			0			Som sidst, ok bundfældningsegenskaber, mange områder med lav trådindex, men også områder med flere. Små korte tråde. Pænt med liv. Slammet lugtede stadig lidt, men knap så fælt som sidst!
2010-09-21	SK, JC		x		x		x	2.25	0.12	x		950	4	160	640	4.8	4.8	198	133		15.7			x	x				x			x			x			x		0			x			x			Ok bundfældningsegenskaber. Mange områder med lav trådindex (omk 1.5 - 2) men også områder med flere tråde. Pænt med liv spredt fordelt på forskellige organismetyper. Slammet lugtede ækelt!
2010-09-07	SK, JC	x	x		x		x	2.25	0.13	x		930	4	130	520	4.5	4.6	202	113		16.1			x	x				x			x			x			x		0			x			0			Det så pænt ud - og bundfældningsegenskaber er ok. Mange områder med pænt afrundede flokke og uden for mange tråde. Ok med liv. Ikke mange zoogloea-kolonier, som sidste gang.
2010-08-24	SK, JC		x		x		x	2.5	0.19	x		830	4	100	400	4	4.3	193	93		16.9			x		x			x			x			x			x		x			x			x			Der er kommet meget meget regne ind den sidste uges tid. Flere pænt afrundede flokke. Fine bundfældningsegenskaber, TS på 4,0.  Pænt med liv - og også her var der zoogloeakolonier (men ikke inde i flokkene som på NV).
2010-06-15	SK, MJ		x		x		x	3.5		x		890	4	100	400	2.5	3.7	241	108		13.7			x	x			x							x			x		x			0			x			Der er kommet meget meget regne ind den sidste uges tid. Bundfældn. Lidt bedre - og ok med liv.
2010-06-01	Sk, JC		x		x		x	4	0.12	x	x	965	4	180	720	4.4	4.7	205	153					x	x				x			x		x					x		x		x			x			Lidt bedre bundfældningsegenskaber, men prob med at holde slammet i anlægget ved regn. Mange microtrix. Fast v tryk -men flokkene kunne trykkes meget sammen - nok pga de mange tråde som nærmest blev trykket ud/væk fra flokkene.Der var ikke så meget liv som sidst.
2010-05-18	SK, JC		x		x		x	3	0.14	x		960	4	260	1040	4.3	4.6	209	226		11			x	0				x				x		x				x	x			x			x			"Ok bundfældningsegenskaber. Mange fastsiddende og krybende. Trådindex er meget faldende - og det så rigtig pænt ud. Pæne flokke - dog med lidt løse ""ender"". "
2010-05-04	SK, JC		x		x		x	4.5	0.13	x		970	4	195	780	3.8	4.7	206	166		11.2			x	x				x				x		x				x	x			x			x			Ok bundfældningsegenskaber. Mange microtrix, også i toppen af SV og FSV. Ok med liv, mange fastsiddende og krybende. TS 3,8, temp 11.
2010-04-13	SK, JC		x		x		x	4	0.15	x		960	4	110	440	3.3	4.3	223	102		9.8			x	0				x				x		x				x	x			x			0			Fine bundfældningegenskaber - trods områder med mange microtrix, ok liv - mange fastsiddende og vi så et par af de store klokke-samlinger. Lav TS på 3,3 - og temp på 9,8
2010-03-16	SK, MJ		x		x		x	4.5	0.16	x		910	4	150	600	3.6	2.9	314	207					x	x			x					x		x				x	0			0			0			Luftige flokke og mange små løse, men ok bundfældning - bedre end det har været i lang tid.Pænt med liv. Mystisk ts-måling på 2,3 og 3,1 og 5,3!!
2010-03-04	SK, MJ		x		x		x	4	0.15	x	x	950	4	150	600	4	4	238	150					x	0				x			x			x				x	0			x			x			Meget smeltevand kommet ind de sidste 4 dage. Luftige flokke og mange små løse (lidt som NV).Mange microtrix, men ok bundfældning - noget bedre end det har været i lang tid.Pænt med liv (som sidst)
2010-02-16	SK, JC, MJ		x		x		x	4	0.1	x		990	4	230	920	5.3	5.1	194	180		7.8			x	x			x				x			x				x		x		x			x			"Sådan noget ""løst"" pluff-værk.Der var mange små bitte flokke - som godt kunne se ud som afrivning fra svage flokke. Lidt ringere bundfældningsegenskaber end sidst. TS op.Pænt med liv."
2010-02-02	SK, JC, DN		x		x		x	3.5	0.13	x		980	4	180	720	4.6	5.1	192	141		7.5			x	0			x				x			x				x	x			0			x			Ok bundfældningegenskaber, ok med liv, knap så mange tråde som sidst. Microtrix er domin. 
2010-01-21	SK, JC, MJ		x		x		x	3.75	0.16	x		970	4	180	720	3.8	4.4	220	164		8.1			x	0				x				x		x				x	x			x			0			Dårligere bundfældningsegenskaber. Mange microtrix!. Rigtig mange krybende og fastsiddende ciliater.Godt med liv
2010-01-05	SK		x		x		x	3	0.17	x		880	4	110	440	3.4	3.9	226	113		9			x	x			x				x			x				x	x			x			0			Ok bundfældningsevne. Pænt med liv.
2009-12-15	SK, JC		x		x		x	2.5	0.15	x		920	4	130	520	3.7	4.1	224	127		11			x	x				x			x			x				x	0			x			0			Efter kort tid i lyset, så vi rigtig mange frie bakt i vandfasen. Ikke så liv af ciliater. Gode bundfældningsegenskaber. Pæne flokke og trådene mest i flokkene.
2009-12-03	SK, JC, MJ		x		x		x	2.5	0.13	x		880	4	130	520	3.9	4	220	130		11.2			x	0			x				x			x				x	0			x			x			Mange små flokke, også nogen pænt rundt. Mange krybende. Falder pænt. Så noget der lignede en edderkop!
2009-11-17	SK,SRN,DN		x		x		x	2	0.12	x		925	4	140	560	3.8	4.4	210	127		11.2			x		x			x			x			x				x	0			x			x			Mange pænt små runde flokke. Rigtig mange krybende - ikke så mange tråde. Der kom flydeslam ved FSV og det var microtrix
2009-11-04	SK		x		x		x	2.5	0.14	x		940	2	190	380	4.1	4	235	95		14.4			x		x			x				x		x				x	0			x			x			Luftige flokke. Meget liv i form af krybende og fastsiddende.
2009-10-20	SK		x		x		x	3	0.13	x		905	4	150	600	4.7	4.9	185	122		13.9			x	x			x					x		x				x	0				x		x			Mange flokke der hang sammen i netværk. Mange mange krybende og også fastsiddende. Meget liv.
