Prøvetagning	Undersøgelsesformål	Laboratoriets reference	Nonylphenol-monoethoxylater (NP1EO) [µg/l]	Nonylphenol-diethoxylater (NP2EO) [µg/l]	Nonylphenol +nonylphenolmono- og diethoxylater [µg/l]	Bisphenol A [µg/l]	Fluoren [µg/l]	Antracen [µg/l]	Pyren [µg/l]	Chrysen [µg/l]	Benz[a]pyren [µg/l]	Coliforme bakt.37Gr. [antal/ml]	E.coli [antal/ml]	pH [pH]	Phenanthren [µg/l]	TCPP [µg/l]	BI5 Biokemisk iltforbrug 5 døgn [mg/l]	BI5 modif. Biokemisk iltforbrug,modifificeret 5 døgn [mg/l]	COD, Kemisk iltforbrug [mg/l]	Naphtalen [µg/l]	Cyanid, total [mg/l]	Acenaphthylen [µg/l]	Benz(b)fluoranthen [µg/l]	Dibenz(ah)anthracen [µg/l]	Benz(ghi)perylen [µg/l]	Benz(k)fluoranthen [µg/l]	Benz(a)anthracen [µg/l]	Ammoniak+ammonium-N [mg/l]	Nitrit-N [mg/l]	Nitrat-N [mg/l]	Nitrit+nitrat-N [mg/l]	Nitrogen,total [mg/l]	Ortho-phosphat-P [mg/l]	Phosphor, total-P [mg/l]	Bly [µg/l]	Cadmium [µg/l]	Calcium [mg/l]	Chlorid [mg/l]	Chrom [µg/l]	Kobber [µg/l]	Kviksølv [µg/l]	Suspenderede stoffer [mg/l]	Nikkel [mg/l]	Zink [µg/l]	Olie [mg/l]	Phenol [µg/l]	Fluoranthen [µg/l]	Indeno(1,2,3-cd)pyren [µg/l]	Acenaphthen [µg/l]	Triphenylphosphat [µg/l]	Tributylphosphat [µg/l]	Benzo(j)fluoranthen [µg/l]	4-Nonylphenol [µg/l]	Nedbør [mm] - Feltmåling	Temperatur [grader C] - Feltmåling	Vandføring [m3/d] - Feltmåling	Minimum vandføring [m3/h] - Feltmåling	Maximum vandføring [m3/h] - Feltmåling	pH [pH] - Feltmåling	Oxygenmætning [pct] - Feltmåling
11.01.2016	Egenkontrol	1756665_821167												7.78			2.3	1.5	20									0.373	0.121	5.09	5.2	6.54	0.13	0.19			100	146				0.3												1	10.9	6749	213	352	7.27	66
25.01.2016	Egenkontrol	1759977_826623												7.65			1.7	1.5	17									0.0165	0.01	7.13	7.2	7.27	0.045	0.17			84	129				0.3												0	10.4	10851	323	642	7.09	67
09.02.2016	Egenkontrol	1759978_831386												7.63			2	1.7	14									0.143	0.01	6.79	6.8	7.75	0.062	0.17			87	96.3				0.3												9	9.8	17764	586	1223	7.11	63
24.02.2016	Egenkontrol	1765770_838451												7.71			1.7	1.4	19									0.065	0.0782	4.57	4.6	7.09	0.13	0.21			110	110				0.3												0	9.8	7473	214	364	7.35	64
25.02.2016	Egenkontrol	1759996_837673										49	23																																										8.3					
06.03.2016	Egenkontrol	1759979_841071												7.74			1.7	1.5	18									0.145	0.0603	8.56	8.6	10	0.12	0.17			84	88.9				0.3												2	9.6	12742	387	670	7.15	62
17.03.2016	Egenkontrol	1759980_845630												7.82			1.7	1.6	22									0.0165	0.0447	3.62	3.7	6.02	0.23	0.26			110	124				0.3												0	10.7	6989	119	372	7.3	71
29.03.2016	Egenkontrol	1769391_848192												7.8			2.5	2.1	22									0.073	0.0779	5.12	5.2	8.02	0.16	0.19			110	112				0.3												1	10.9	5978	83	317	7.23	69
11.04.2016	Egenkontrol	1759982_852165												7.9			1.2	1.1	16									0.107	0.0767	2.03	2.1	4.14	0.2	0.22			110	129				0.3												1	11.7	6192	82	331	7.25	70
27.04.2016	Egenkontrol	1759983_858731												7.68			2.6	1.8	23									0.209	0.0953	7.03	7.1	8.81	0.073	0.18			85	98.2				1												3	11.3	10414	120	822	7.04	60
10.05.2016	Egenkontrol	1759998_863131												7.95			1.7	1.5	23									0.216	0.124	1.44	1.6	3.43	0.11	0.17	0.5	0.015	110	130	7	1.7	0.015	0.3	0.0062	15	0.05									0	14.5	5004	117	259	7.25	75
