Prøvetagning	Undersøgelsesformål	Laboratoriets reference	Nonylphenol-monoethoxylater (NP1EO) [µg/l]	Nonylphenol-diethoxylater (NP2EO) [µg/l]	Nonylphenol +nonylphenolmono- og diethoxylater [µg/l]	Bisphenol A [µg/l]	Fluoren [µg/l]	Antracen [µg/l]	Pyren [µg/l]	Chrysen [µg/l]	Benz[a]pyren [µg/l]	Coliforme bakt.37Gr. [antal/ml]	E.coli [antal/ml]	pH [pH]	Phenanthren [µg/l]	TCPP [µg/l]	BI5 Biokemisk iltforbrug 5 døgn [mg/l]	BI5 modif. Biokemisk iltforbrug,modifificeret 5 døgn [mg/l]	COD, Kemisk iltforbrug [mg/l]	Naphtalen [µg/l]	Cyanid, total [mg/l]	Acenaphthylen [µg/l]	Benz(b)fluoranthen [µg/l]	Dibenz(ah)anthracen [µg/l]	Benz(ghi)perylen [µg/l]	Benz(k)fluoranthen [µg/l]	Benz(a)anthracen [µg/l]	Ammoniak+ammonium-N [mg/l]	Nitrit-N [mg/l]	Nitrat-N [mg/l]	Nitrit+nitrat-N [mg/l]	Nitrogen,total [mg/l]	Ortho-phosphat-P [mg/l]	Phosphor, total-P [mg/l]	Bly [µg/l]	Cadmium [µg/l]	Calcium [mg/l]	Chlorid [mg/l]	Chrom [µg/l]	Kobber [µg/l]	Kviksølv [µg/l]	Suspenderede stoffer [mg/l]	Nikkel [mg/l]	Zink [µg/l]	Olie [mg/l]	Phenol [µg/l]	Fluoranthen [µg/l]	Indeno(1,2,3-cd)pyren [µg/l]	Acenaphthen [µg/l]	Triphenylphosphat [µg/l]	Tributylphosphat [µg/l]	Benzo(j)fluoranthen [µg/l]	4-Nonylphenol [µg/l]	Nedbør [mm] - Feltmåling	Temperatur [grader C] - Feltmåling	Vandføring [m3/d] - Feltmåling	Minimum vandføring [m3/h] - Feltmåling	Maximum vandføring [m3/h] - Feltmåling	pH [pH] - Feltmåling	Oxygenmætning [pct] - Feltmåling
22.05.2016	Egenkontrol	1759984_867727												7.88			2	1.7	23									0.089	0.14	2.76	2.9	4.2	0.14	0.19			110	114				0.8												4	15.2	5460	144	368	7.22	67
08.06.2016	Egenkontrol	1759985_875201												8.01			1.4	1.3	20									0.127	0.0791	0.289	0.37	2.05	0.24	0.32			110	145				0.3												0	17.2	4293	44	255	7.32	74
23.06.2016	Egenkontrol	1759986_881427												7.89			1.2	1.3	21									0.065	0.104	0.611	0.72	1.87	0.15	0.18			88	125				0.62												0		4002	34	207		78
04.07.2016	Egenkontrol	1759987_885641												7.88			1.7	1.5	15									0.075	0.155	4.32	4.5	4.95	0.1	0.11			82	99.7				0.3												0	17.4	3992	37	210	7.12	74
17.07.2016	Egenkontrol	1782346_890421												7.75			1.2	1.1	17									0.059	0.0758	1.05	1.1	2.21	0.1	0.12			100	125				0.3												0	17.4	4090	43	233	7.28	74
16.08.2016	Egenkontrol	1759999_100558												8.1			1.4	1.2	22									0.08	0.0807	0.547	0.63	1.98	0.12	0.15	0.5	0.03	110	143	1.2	3.3	0.015	0.3	0.00165	15	0.05									0	18.1	3983	41	234	7.32	78
17.08.2016	Egenkontrol	1759997_100531										17	17																																															
07.09.2016	Egenkontrol	1759989_109565												7.52			1.3	1.2	16									0.12	0.0907	0.43	0.52	1.65	0.17	0.21			83	100				0.3												0	18.7	3965	52	252	7.03	64
15.09.2016	Egenkontrol	1759990_113083												8			1.8	1.7	17									0.078	0.0941	0.895	0.99	2.37	0.15	0.17			110	157				0.3												0	19.6	3783	38	237	7.3	83
25.09.2016	Egenkontrol	1792598_117319												8.13			1.2	1.2	21									0.0165	0.081	0.82	0.9	2.25	0.15	0.26	0.5	0.015	110	173	1.7	5.8	0.015	0.3	0.00165	15	0.05									0	18	3691	27	229	7.33	83
10.10.2016	Egenkontrol	1759992_123825												8.45			1.6	1.4	19									0.115	0.106	2.76	2.9	3.47	0.1	0.13			92	139				0.3												4	16	5410	42	345	7.23	72
10.10.2016	Egenkontrol	1760006_123791	0.05	0.05	0.25	2.5	0.00835	0.00835	0.00835	0.00835	0.00835				0.00835	1.2				0.00835	0.0015	0.00835	0.00835	0.00835	0.00835	0.00835	0.00835																			0.1	0.00835	0.00835	0.00835	0.025	0.065	0.00835	0.05	4		5410	42	345		
25.10.2016	Egenkontrol	1759924_130883												7.89			1.4	1.3	20									0.112	0.119	1.39	1.5	2.46	0.12	0.14			66	83.6				0.3												0	14.4	4714	61	260	7	77
06.11.2016	Egenkontrol	1759994_137374												7.93			1.6	1.3	19									0.116	0.0998	3.59	3.7	4.1	0.12	0.16			71	88				0.3												0	13.9	5549	94	271	7.05	69
24.11.2016	Egenkontrol	1760000_149041												8			1.5	1.3	25									0.015	0.0776	1.41	1.5	3.2	0.45	0.45	0.5	0.015	100	133	0.5	3	0.015	0.3	0.00165	17.5	0.05									0	13	5326	89	284	7.51	70
07.12.2016	Egenkontrol	1759995_156417												7.98			1.4	1.3	26									0.092	0.0831	3.72	3.8	5.93	0.35	0.46			100	149				0.3												3	12.4	6587	83	558	7.47	71
