Date	RAS_Flow_ET1	RAS_Flow_ET2	RAS_Flow_SUM	RAS_Percent	LT2_TS	WAS_Flow	WAS_TS	WAS_Mass
2017-10-25	1429	1833	3259	35	3.64	121	1.01	1225
2017-10-26	1672	1850	3520	60	4.50	121	0.76	916
2017-10-27	1891	1843	3734	70	4.74	121	0.66	794
2017-10-28	1972	1923	3893	62	4.69	126	0.70	881
2017-10-29	1895	1850	3744	38	3.90	121	0.79	953
2017-10-30	1894	1865	3760	62	4.60	120	0.71	854
2017-10-31	1873	1854	3725	70	4.71	118	0.68	799
2017-11-01	1893	1860	3745	73	4.75	121	0.68	814
2017-11-02	1928	1855	3780	73	4.84	120	0.67	803
2017-11-03	1890	1848	3737	70	4.78	121	0.66	806
2017-11-04	1891	1852	3739	80	4.75	121	0.61	739
2017-11-05	1888	1849	3737	78	4.51	121	0.62	746
2017-11-06	1604	1780	3374	66	4.38	121	0.70	840
2017-11-07	1900	1851	3750	80	4.27	120	0.62	741
2017-11-08	1817	1858	3670	601	4.62	121	0.62	747
2017-11-09	156	154	310	816	0.39	10	0.59	57
