Date	Outlet_Flow	Outlet_Flow_Maxhour	Temperature	DO	Outlet_Precipitate	pH	NH4	NH4	NO3	NO3	PO4	Fe
2017-05-04	3774	255	13.1	80		7.57	0.00		1.66			
2017-05-05	3747	191	13.0	82		7.58	0.00		1.89			
2017-05-06	3696	198	13.4	83		7.55	0.00		2.40			
2017-05-07	3807	257	14.0	83		7.53	0.00		2.07			
2017-05-08	3836	205	13.9	74		7.57	0.01		2.57			
2017-05-09	3867	206	13.3	86		7.60	0.01		2.10			
2017-05-10	7498	636	12.9	82		7.55	0.01		4.13			
2017-05-11	4915	286	12.9	81		7.44	0.02		7.11			
2017-05-12	3804	210	13.2	80		7.46	0.04		2.96			
2017-05-13	4648	349	13.6	81		7.50	0.02		1.46			
2017-05-14	5063	335	14.1	84		7.49	0.01		2.39			
2017-05-15	4275	268	14.5	81		7.45	0.03		2.80			
2017-05-16	8615	709	14.2	81		7.46	0.01		2.94			
2017-05-17	5350	345	14.3	77		7.31	0.01		7.73			
2017-05-18	4316	250	15.4	76		7.37	0.07		1.93			
2017-05-19	4155	257	15.6	74		7.45	0.05		1.11			
2017-05-20	3779	204	15.3	81		7.53	0.08		1.22			
2017-05-21	3776	202	15.3	81		7.54	0.07		1.31			
2017-05-22	3773	245	15.4	81		7.53	0.06	0.08	1.52	1.30	0.09	0.08
2017-05-23	4392	335	15.6	78		7.51	0.05		1.55			
2017-05-24	3728	188	15.3	79		7.54	0.09		2.12			
2017-05-25	3690	240	15.5	81		7.52	0.05		1.46			
2017-05-26	3522	196	16.1	79		7.51	0.07		1.38			
2017-05-27	3549	180	16.6	82		7.50	0.06		1.37			
2017-05-28	3589	232	16.9	81		7.50	0.04		1.49			
2017-05-29	3591	186	16.4	80		7.53	0.06		1.89			
2017-05-30	3651	186	16.2	71		7.48	0.26		1.46			
2017-05-31	3576	226	15.9	81		7.55	0.02		1.72			
2017-06-01	3597	181	15.8	83		7.56	0.02		1.68			
2017-06-02	3539	182	16.0	80		7.56	0.02		1.46			
2017-06-03	3311	210	16.2	83		7.57	0.03		1.42			
2017-06-04	3218	200	16.4	80		7.57	0.03		1.38			
2017-06-05	3507	185	16.3	82		7.55	0.02		1.51			
2017-06-06	3510	213	16.6	82		7.56	0.01		1.69			
2017-06-07	9909	775	15.8	69		7.44	0.24		5.09			
2017-06-08	4939	275	15.3	75		7.24	0.39	0.44	9.86	9.24	1.34	0.09
2017-06-09	6136	346	16.1	75		7.20	0.02		2.73			
2017-06-10	4118	264	16.5	77		7.27	0.04		2.83			
2017-06-11	4603	342	17.2	75		7.30	0.03		1.46			
2017-06-12	5145	313	16.9	75		7.32	0.01		1.65			
2017-06-13	3529	218	16.4	80		7.39	0.02		1.49			
2017-06-14	3471	182	16.5	81		7.38	0.02		1.21			
2017-06-15	3482	228	17.1	80		7.38	0.02		1.12			
2017-06-16	3414	226	17.2	81		7.44	0.02		1.14			
2017-06-17	3276	179	17.3	81		7.43	0.02		1.36			
2017-06-18	3458	213	18.0	80		7.44	0.01		1.19			
2017-06-19	3449	189	18.5	77		7.39	0.01		1.37			
2017-06-20	3427	226	18.5	78		7.45	0.01		1.08			
2017-06-21	3320	236	17.6	82		7.47	0.01		1.33			
2017-06-22	3345	173	17.5	79		7.22	0.01		1.32			
2017-06-23	3310	181	17.6	75		7.24	0.01		1.17			
2017-06-24	3942	342	17.4	76		7.23	0.00		1.36			
2017-06-25	3177	170	17.2	80		7.25	0.01		2.11			
2017-06-26	3296	184	17.0	74		7.25	0.01		1.24			
2017-06-27	3235	224	16.9	79		7.24	0.00		1.23			
2017-06-28	3381	220	17.1	73		7.24	0.06		1.25			
2017-06-29	5304	344	17.0	72		7.20	0.04		1.44			
2017-06-30	9913	777	16.6	66		7.04	0.03		5.11			
2017-07-01	4120	258	16.9	74		6.92	0.09		6.89			
2017-07-02	3075	162	17.4	78		7.00	0.11		0.98			
2017-07-03	7409	762	17.2	69		7.02	0.03		1.98			
2017-07-04	3776	220	16.7	73		7.02	0.05	0.07	4.92	4.65	0.12	0.03
2017-07-05	3180	213	17.3	67		7.02	0.08		0.97			
2017-07-06	3096	190	17.7	77		7.09	0.07		0.73			
2017-07-07	3072	157	17.9	82		7.17	0.09		0.76			
2017-07-08	2914	156	18.1	81		7.23	0.09		0.80			
2017-07-09	2941	184	18.0	78		7.25	0.08		0.94			
2017-07-10	2948	150	17.9	82		7.28	0.08		1.02			
2017-07-11	3359	245	17.8	78		7.26	0.06		1.16			
2017-07-12	2916	180	17.6	82		7.30	0.07		1.44			
2017-07-13	2863	145	17.3	82		7.31	0.07		0.99			
2017-07-14	2875	148	17.3	83		7.31	0.07		0.91			
2017-07-15	2721	178	17.7	83		7.28	0.07		0.93			
2017-07-16	3359	235	17.8	82		7.29	0.06		0.99			
2017-07-17	2899	146	17.7	78		7.28	0.08		1.52			
2017-07-18	2799	173	17.6	82		7.26	0.06		1.10			
2017-07-19	2734	141	17.9	83		7.27	0.07		1.03			
2017-07-20	3064	223	18.1	83		7.29	0.06		1.00			
2017-07-21	2813	145	18.3	83		7.27	0.06		1.09			
2017-07-22	3170	252	18.3	81		7.30	0.06		0.93			
2017-07-23	9616	952	17.7	67		7.10	0.03		4.01			
2017-07-24	3032	187	17.6	79		7.12	0.06		5.93			
2017-07-25	6302	578	17.8	70		7.07	0.02		1.63			
2017-07-26	3329	196	17.9	80		7.12	0.08		5.10			
2017-07-27	3245	230	18.3	80		7.18	0.06		1.42			
2017-07-28	2824	151	18.1	82		7.24	0.06		1.26			
2017-07-29	4402	349	18.1	78		7.26	0.02		1.26			
2017-07-30	8398	795	18.2	69		7.17	0.01		5.14			
2017-07-31	5123	349	18.0	78		7.03	0.01		6.86			
2017-08-01	3020	154	18.3	79		7.09	0.06		3.23			
2017-08-02	3015	195	18.5	81		7.15	0.02		2.49			
2017-08-03	13288	1054	18.1	64		7.05	0.77		9.03			
2017-08-04	9702	664	17.9	69		6.79	0.07		8.19			
2017-08-05	4396	281	18.0	76		6.92	0.00		6.11			
2017-08-06	3429	182	18.2	81		7.08	0.02		1.54			
2017-08-07	3358	169	18.3	83		7.16	0.01		1.58			
2017-08-08	4640	344	18.4	78		7.23	0.00		1.75			
2017-08-09	4335	296	18.4	80		7.23	0.00		2.53			
2017-08-10	3328	169	18.5	83		7.25	0.00		1.64			
2017-08-11	3293	173	18.4	82		7.28	0.00		1.31			
2017-08-12	4251	341	18.2	78		7.29	0.00		1.46			
2017-08-13	3332	178	18.0	79		7.32	0.00		3.10			
2017-08-14	3249	180	17.9	84		7.32	0.02		1.79			
2017-08-15	6210	726	18.5	69		7.25	0.01		1.90			
2017-08-16	5150	297	18.6	78		7.18	0.01		4.50			
2017-08-17	5114	607	18.6	73		7.15	0.01		2.77			
2017-08-18	8328	947	18.5	65		7.08	0.01		2.08			
2017-08-19	6076	493	18.1	75		6.96	0.03		4.49			
2017-08-20	4318	330	18.0	76		6.99	0.01		1.31			
2017-08-21	3514	178	17.9	78		7.10	0.05		1.41			
2017-08-22	3418	176	17.9	80		7.15	0.03		1.28			
2017-08-23	3400	218	18.2	81		7.19	0.01	0.13	1.21	1.12	0.18	0.02
2017-08-24	3359	181	18.2	83		7.25	0.01		1.21			
2017-08-25	3313	169	18.2	81		7.28	0.00		1.27			
2017-08-26	3245	210	18.4	80		7.28	0.00		1.25			
2017-08-27	3473	204	18.6	79		7.30	0.00		1.19			
2017-08-28	3113	171	18.6	81		7.30	0.00		1.83			
2017-08-29	3288	198	18.8	79		7.29	0.00		1.58			
2017-08-30	6359	420	18.7	69		7.26	0.00		1.79			
2017-08-31	4445	292	18.1	70		7.22	0.00		2.03			
2017-09-01	3382	234	17.8	75		7.19	0.00		1.16			
2017-09-02	3184	182	17.9	77		7.22	0.00		1.07			
2017-09-03	3235	175	17.8	80		7.26	0.00		1.03			
2017-09-04	3289	175	17.8	76		7.28	0.00	0.05	1.17	1.13	0.19	0.04
2017-09-05	3409	246	18.0	81		7.27	0.00		1.16			
2017-09-06	9571	779	18.1	67		7.17	0.10		5.69			
2017-09-07	4162	288	17.6	74		7.05	0.08		7.00			
2017-09-08	5501	359	17.7	76		7.07	0.12		2.38			
2017-09-09	6111	623	17.7	67		7.11	0.17		1.94			
2017-09-10	3984	259	17.5	67		7.09	0.15		1.71			
2017-09-11	4264	333	17.6	75		7.09	0.04		1.68			
2017-09-12	3529	300	17.6	72		7.14	0.03		1.88			
2017-09-13	14975	1113	17.1	63		6.98	0.75		7.39			
2017-09-14	10175	788	16.5	64		6.78	0.06		6.63			
2017-09-15	8210	760	16.7	67		6.89	0.01		2.60			
2017-09-16	7262	354	16.8	69		6.95	0.09		3.70			
2017-09-17	6434	338	17.0	72		7.03	0.19		4.69			
2017-09-18	4616	306	17.0	75		7.11	0.09		4.94			
2017-09-19	3838	234	17.1	73		7.19	0.00		2.07			
2017-09-20	4918	350	17.3	78		7.22	0.00		1.45			
2017-09-21	3786	196	17.3	80		7.23	0.00		1.55			
2017-09-22	3560	460	17.2	71		7.20	0.00		1.44			
2017-09-23	3482	196	17.1	82		7.22	0.00		1.41			
2017-09-24	3476	195	17.5	82		7.23	0.00		1.43			
2017-09-25	3693	228	17.5	82		7.24	0.00		1.68			
2017-09-26	3493	188	17.5	85		7.26	0.00		1.58			
2017-09-27	3511	189	17.6	83		7.28	0.00		1.54			
2017-09-28	4980	342	17.3	81		7.26	0.00		2.23			
2017-09-29	3604	183	17.1	81		7.26	0.00		3.02			
2017-09-30	3355	185	16.9	80		7.26	0.01		1.74			
2017-10-01	3431	229	17.0	79		7.24	0.00		1.52			
2017-10-02	10442	1049	16.8	66		7.16	0.37		5.66			
2017-10-03	6327	443	16.2	68		6.97	0.79		3.56			
2017-10-04	9407	880	15.9	65		6.98	0.30		4.54			
2017-10-05	10310	898	15.6	64		6.89	0.15	0.14	7.24	7.10	0.11	0.05
2017-10-06	5096	329	15.4	68		6.93	0.31		4.60			
2017-10-07	7654	665	15.7	68		7.02	0.04		1.93			
2017-10-08	5897	342	15.6	70		7.02	0.02		3.05			
2017-10-09	4110	209	15.2	75		7.08	0.05		1.79			
2017-10-10	5363	351	15.6	74		7.11	0.03		1.88			
2017-10-11	5680	344	16.1	74		7.11	0.13		2.95			
2017-10-12	10940	786	16.0	64		7.07	1.44		4.63			
2017-10-13	5429	331	15.8	67		6.97	0.31		6.52			
2017-10-14	4342	238	16.3	67		7.02	0.25		1.53			
2017-10-15	4248	232	16.7	67		7.12	0.14		1.29			
2017-10-16	4210	278	16.8	69		7.14	0.04		1.40			
2017-10-17	3856	198	16.7	78		7.19	0.03		1.37			
2017-10-18	6279	642	16.3	67		7.19	0.01		1.92			
2017-10-19	4848	281	16.2	79		7.14	0.01		2.30			
2017-10-20	5364	352	16.0	75		7.12	0.03		1.95			
2017-10-21	4604	245	16.1	75		7.13	0.02		2.01			
2017-10-22	7746	973	16.1	63		7.10	0.01		1.76			
2017-10-23	9004	646	15.4	67		6.91	0.00		6.33			
2017-10-24	8236	638	15.5	67		7.11	0.11		5.31			
2017-10-25	8788	661	15.9	64		7.19	0.06		5.66			
2017-10-26	5560	294		67								
2017-10-27	5042	259	15.4	65		7.36	0.02		1.70			
2017-10-28	5387	305	15.2	68		7.41	0.00		1.70			
2017-10-29	9872	750	14.6	65		7.35	0.00		4.21			
2017-10-30	6447	369	13.7	68		7.27	0.00		4.23			
2017-10-31	5214	320	13.9	76		7.34	0.00		2.12			
2017-11-01	5062	244	14.8	70		7.36	0.00		1.53			
2017-11-02	4798	263	15.2	71		7.40	0.00		1.04			
2017-11-03	4336	302	15.1	74		7.43	0.00		0.93			
2017-11-04	4181	220	15.1	79		7.46	0.00		0.94			
2017-11-05	4295	224	15.2	75		7.48	0.00	0.01	1.08	1.20	0.14	0.03
2017-11-06	4134	264	14.8	79		7.49	0.00		1.11			
2017-11-07	4192	213	14.2	83		7.51	0.00		1.78			
2017-11-08	4181	221	14.1	80		7.50	0.02		2.82			
2017-11-09	240	221		83								
